yil,ay,ihracat_urun_adi,ihracat_miktar_kg,ihracat_deger_usd
2023,NISAN,DOMATES,74673219.0,69270608.0
2023,NISAN,BİBER,18372873.0,28821957.0
2023,NISAN,LİMON,60432048.0,28546521.0
2023,NISAN,MANDALİNA,26864524.0,17632531.0
2023,NISAN,ELMA,46418909.0,17406941.0
2023,NISAN,KABAK,14822494.0,10438589.0
2023,NISAN,PORTAKAL,12169233.0,4835447.0
2023,NISAN,HIYAR (SALATALIK),7344984.0,4826114.0
2023,NISAN,PATLICAN,3303670.0,2248228.0
2024,TEMMUZ,NAR,5819166.0,5278024.0
2024,TEMMUZ,ELMA,18283134.0,15010338.0
2024,TEMMUZ,BİBER,4947918.0,10975023.0
2024,TEMMUZ,ÜZÜM TAZE,8989787.0,10065597.0
2024,TEMMUZ,DOMATES,8947026.0,5858237.0
2024,TEMMUZ,HIYAR (SALATALIK),5567979.0,5440145.0
2024,TEMMUZ,LİMON,4707443.0,4583566.0
2024,TEMMUZ,KABAK,783103.0,996504.0
2024,TEMMUZ,PATLICAN,755099.0,698347.0
2024,MART,NAR,194591333.0,103944491.0
2024,MART,DOMATES,59928541.0,61500062.0
2024,MART,MANDALİNA,73483613.0,41263932.0
2024,MART,LİMON,72385573.0,36982861.0
2024,MART,BİBER,20688801.0,34986281.0
2024,MART,ELMA,42058825.0,22658244.0
2024,MART,PORTAKAL,29460033.0,15894512.0
2024,MART,KABAK,18016279.0,10574399.0
2024,MART,HIYAR (SALATALIK),7171403.0,4697913.0
2024,MART,PATLICAN,1737771.0,1557528.0
2025,NISAN,NAR,65822265.0,62122650.0
2025,NISAN,DOMATES,60321596.0,57807836.0
2025,NISAN,LİMON,33334003.0,34639075.0
2025,NISAN,BİBER,16954523.0,33444167.0
2025,NISAN,MANDALİNA,22246790.0,19374864.0
2025,NISAN,ELMA,17851652.0,14991296.0
2025,NISAN,KABAK,13824315.0,11868904.0
2025,NISAN,HIYAR (SALATALIK),6837978.0,4673802.0
2025,NISAN,PATLICAN,2878868.0,2117628.0
2025,NISAN,PORTAKAL,3094827.0,2065477.0
2023,KASIM,NAR,380155793.0,212212517.0
2023,KASIM,MANDALİNA,241539362.0,130041975.0
2023,KASIM,DOMATES,52982523.0,46669022.0
2023,KASIM,LİMON,79766969.0,46409864.0
2023,KASIM,PORTAKAL,38180716.0,22367201.0
2023,KASIM,ÜZÜM TAZE,16948348.0,20281936.0
2023,KASIM,BİBER,15312865.0,19783398.0
2023,KASIM,ELMA,22269781.0,13841304.0
2023,KASIM,HIYAR (SALATALIK),15909919.0,11496936.0
2023,KASIM,KABAK,12393645.0,7977582.0
2023,KASIM,PATLICAN,2405991.0,1464230.0
2023,ARALIK,NAR,461355999.0,262826291.0
2023,ARALIK,MANDALİNA,281116404.0,162746112.0
2023,ARALIK,DOMATES,63391750.0,70042031.0
2023,ARALIK,LİMON,93640988.0,51087590.0
2023,ARALIK,PORTAKAL,69972733.0,38921785.0
2023,ARALIK,BİBER,21388658.0,28349921.0
2023,ARALIK,HIYAR (SALATALIK),19114456.0,13792107.0
2023,ARALIK,ELMA,20666027.0,12226584.0
2023,ARALIK,ÜZÜM TAZE,9352089.0,11602106.0
2023,ARALIK,KABAK,11997359.0,10182070.0
2023,ARALIK,PATLICAN,2747087.0,1710908.0
2023,HAZIRAN,NAR,30297222.0,15734490.0
2023,HAZIRAN,DOMATES,21896631.0,15281485.0
2023,HAZIRAN,BİBER,14513730.0,14299884.0
2023,HAZIRAN,LİMON,25587626.0,13399336.0
2023,HAZIRAN,ELMA,21321753.0,6219392.0
2023,HAZIRAN,PATLICAN,5054100.0,2555641.0
2023,HAZIRAN,PORTAKAL,3729256.0,1822222.0
2023,HAZIRAN,KABAK,1537966.0,1404727.0
2023,HAZIRAN,HIYAR (SALATALIK),451619.0,481780.0
2025,ŞUBAT,NAR,197315661.0,152434291.0
2025,ŞUBAT,MANDALİNA,112091215.0,86850516.0
2025,ŞUBAT,DOMATES,43553114.0,44096636.0
2025,ŞUBAT,LİMON,54331922.0,43053635.0
2025,ŞUBAT,BİBER,18919289.0,34925238.0
2025,ŞUBAT,ELMA,20199158.0,14455416.0
2025,ŞUBAT,PORTAKAL,16271094.0,12762480.0
2025,ŞUBAT,HIYAR (SALATALIK),8701376.0,9156362.0
2025,ŞUBAT,KABAK,11243902.0,8433102.0
2025,ŞUBAT,PATLICAN,1022994.0,1210517.0
2025,ŞUBAT,ÜZÜM TAZE,119681.0,92400.0
2023,OCAK,NAR,247850533.0,146793262.0
2023,OCAK,MANDALİNA,147409853.0,93636613.0
2023,OCAK,DOMATES,49975083.0,51395992.0
2023,OCAK,LİMON,63350979.0,32425788.0
2023,OCAK,BİBER,21199656.0,28077926.0
2023,OCAK,ELMA,41769263.0,22020599.0
2023,OCAK,HIYAR (SALATALIK),15483755.0,11143168.0
2023,OCAK,PORTAKAL,22161047.0,10936037.0
2023,OCAK,KABAK,14423683.0,10290998.0
2023,OCAK,ÜZÜM TAZE,2619369.0,2019174.0
2023,OCAK,PATLICAN,2258965.0,1775225.0
2023,MAYIS,NAR,53724286.0,28813925.0
2023,MAYIS,DOMATES,53708751.0,38363378.0
2023,MAYIS,LİMON,42240224.0,21931932.0
2023,MAYIS,BİBER,19966340.0,21273065.0
2023,MAYIS,ELMA,41618602.0,16477788.0
2023,MAYIS,KABAK,6999891.0,5141020.0
2023,MAYIS,MANDALİNA,5750631.0,3878867.0
2023,MAYIS,PATLICAN,6143156.0,3077875.0
2023,MAYIS,PORTAKAL,4198685.0,1869927.0
2023,MAYIS,HIYAR (SALATALIK),3259571.0,1655828.0
2025,EYLÜL,NAR,5318676.0,19151315.0
2025,EYLÜL,ÜZÜM TAZE,28027663.0,30602806.0
2025,EYLÜL,LİMON,4218682.0,15092506.0
2025,EYLÜL,BİBER,8107534.0,13549694.0
2025,EYLÜL,DOMATES,16998705.0,12883837.0
2025,EYLÜL,HIYAR (SALATALIK),5555449.0,7105720.0
2025,EYLÜL,MANDALİNA,975508.0,3864882.0
2025,EYLÜL,ELMA,2244423.0,2037535.0
2025,EYLÜL,KABAK,1023869.0,1355240.0
2025,EYLÜL,PATLICAN,560548.0,807193.0
2026,MART,NAR,158973148.0,173976575.0
2026,MART,MANDALİNA,93687749.0,92206396.0
2026,MART,DOMATES,48992306.0,81334829.0
2026,MART,BİBER,19115536.0,54682804.0
2026,MART,LİMON,30876443.0,43599788.0
2026,MART,PORTAKAL,18403662.0,25318952.0
2026,MART,KABAK,11355247.0,15396959.0
2026,MART,HIYAR (SALATALIK),5402091.0,7773035.0
2026,MART,ELMA,5044161.0,5005607.0
2026,MART,PATLICAN,1021798.0,2289950.0
2026,MART,ÜZÜM TAZE,117578.0,199845.0
2025,MAYIS,NAR,18276245.0,21038967.0
2025,MAYIS,DOMATES,36513463.0,26321823.0
2025,MAYIS,ELMA,17357964.0,21534463.0
2025,MAYIS,BİBER,16055531.0,19409352.0
2025,MAYIS,LİMON,11925171.0,15098891.0
2025,MAYIS,KABAK,4754837.0,3898514.0
2025,MAYIS,MANDALİNA,3601715.0,3597419.0
2025,MAYIS,PATLICAN,4328940.0,2766772.0
2025,MAYIS,HIYAR (SALATALIK),2951904.0,1581143.0
2024,ŞUBAT,NAR,281956615.0,154490644.0
2024,ŞUBAT,MANDALİNA,155881464.0,87636872.0
2024,ŞUBAT,DOMATES,44348162.0,45221209.0
2024,ŞUBAT,LİMON,66226364.0,33740246.0
2024,ŞUBAT,BİBER,19422593.0,31123864.0
2024,ŞUBAT,PORTAKAL,40383503.0,22086583.0
2024,ŞUBAT,ELMA,36620904.0,20724044.0
2024,ŞUBAT,KABAK,15708494.0,10498468.0
2024,ŞUBAT,HIYAR (SALATALIK),8443513.0,7000299.0
2024,ŞUBAT,PATLICAN,1297344.0,1457901.0
2024,ŞUBAT,ÜZÜM TAZE,121125.0,69074.0
2024,ARALIK,NAR,236478482.0,174807402.0
2024,ARALIK,MANDALİNA,119667432.0,94417878.0
2024,ARALIK,LİMON,71810379.0,50109841.0
2024,ARALIK,DOMATES,34568581.0,36836284.0
2024,ARALIK,BİBER,16775394.0,27299008.0
2024,ARALIK,PORTAKAL,32960023.0,21362614.0
2024,ARALIK,ELMA,20141558.0,14306662.0
2024,ARALIK,HIYAR (SALATALIK),15551958.0,13702028.0
2024,ARALIK,ÜZÜM TAZE,7687640.0,10344736.0
2024,ARALIK,KABAK,12976829.0,9763148.0
2024,ARALIK,PATLICAN,1603481.0,1453421.0
2023,EKIM,NAR,213889141.0,124352760.0
2023,EKIM,LİMON,95121306.0,57090715.0
2023,EKIM,MANDALİNA,100177456.0,55282578.0
2023,EKIM,DOMATES,48791509.0,40706933.0
2023,EKIM,ÜZÜM TAZE,34828451.0,32138337.0
2023,EKIM,ELMA,27549647.0,16316915.0
2023,EKIM,BİBER,9485812.0,15380419.0
2023,EKIM,HIYAR (SALATALIK),6412371.0,4316659.0
2023,EKIM,KABAK,5553744.0,3866557.0
2023,EKIM,PORTAKAL,5491911.0,3360883.0
2023,EKIM,PATLICAN,1877682.0,1177129.0
